YEAR,Start_Year,Home_Value,Source
2016,0,529311,Zillow 
2017,1,586224,Zillow 
2018,2,702395,Zillow 
2019,3,765000,Redfin 
2020,4,840000,Redfin 
2021,5,960000,Redfin 
2022,6,918529,Zillow 
2023,7,9570000,Redfin 
2024,8,941784,Zillow 
