YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2022,2,24718,24998,Cargurus
2023,1,23104,36875,Cargurus 
2020,4,61574,27500,Craiglist
2021,3,28387,29884,Cargurus
2021,3,32716,31441,Cargurus 
2022,2,18251,18988,Cargurus
2023,1,1010,214991,Cargurus
2020,4,28673,20985,Craiglist 
2023,1,32603,40630,Craiglist 
2021,3,24965,37000,Cargurus
2023 ,1,32257,18488,Cargurus 
2022,2,53363,25780,Cargurus 
2023,1,9437,44955,Cargurus 
2021,3,44723,25988,Craiglist 
2023,1,31940,39490,Craiglist 
2021,3,43727,28800,Cargurus 
2023,1,8945,32995,Cargurus 
